Maarintalo;
Water;
DateTime;m3
14.9.2015 02:00:00:000;0,01
14.9.2015 03:00:00:000;0,03
14.9.2015 04:00:00:000;0
14.9.2015 05:00:00:000;0,02
14.9.2015 06:00:00:000;0,05
14.9.2015 07:00:00:000;0,11
14.9.2015 08:00:00:000;0,09
14.9.2015 09:00:00:000;0,17
14.9.2015 10:00:00:000;0,25
14.9.2015 11:00:00:000;0,31
14.9.2015 12:00:00:000;0,35
14.9.2015 13:00:00:000;0,36
14.9.2015 14:00:00:000;0,43
14.9.2015 15:00:00:000;0,28
14.9.2015 16:00:00:000;0,34
14.9.2015 17:00:00:000;0,27
14.9.2015 18:00:00:000;0,19
14.9.2015 19:00:00:000;0,18
14.9.2015 20:00:00:000;0,11
14.9.2015 21:00:00:000;0,08
14.9.2015 22:00:00:000;0,09
14.9.2015 23:00:00:000;0,03
15.9.2015 00:00:00:000;0,04
15.9.2015 01:00:00:000;0,03
15.9.2015 02:00:00:000;0,02
15.9.2015 03:00:00:000;0,03
15.9.2015 04:00:00:000;0,02
15.9.2015 05:00:00:000;0,02
15.9.2015 06:00:00:000;0,02
15.9.2015 07:00:00:000;0,07
15.9.2015 08:00:00:000;0,14
15.9.2015 09:00:00:000;0,17
15.9.2015 10:00:00:000;0,26
15.9.2015 11:00:00:000;0,32
15.9.2015 12:00:00:000;0,42
15.9.2015 13:00:00:000;0,37
15.9.2015 14:00:00:000;0,42
15.9.2015 15:00:00:000;0,43
15.9.2015 16:00:00:000;0,37
15.9.2015 17:00:00:000;0,28
15.9.2015 18:00:00:000;0,15
15.9.2015 19:00:00:000;0,16
15.9.2015 20:00:00:000;0,15
15.9.2015 21:00:00:000;0,06
15.9.2015 22:00:00:000;0,07
15.9.2015 23:00:00:000;0,04
16.9.2015 00:00:00:000;0,03
16.9.2015 01:00:00:000;0,03
16.9.2015 02:00:00:000;0
16.9.2015 03:00:00:000;0,02
16.9.2015 04:00:00:000;0,01
16.9.2015 05:00:00:000;0,03
16.9.2015 06:00:00:000;0,02
16.9.2015 07:00:00:000;0,11
16.9.2015 08:00:00:000;0,04
16.9.2015 09:00:00:000;0,13
16.9.2015 10:00:00:000;0,23
16.9.2015 11:00:00:000;0,4
16.9.2015 12:00:00:000;0,38
16.9.2015 13:00:00:000;0,37
16.9.2015 14:00:00:000;0,5
16.9.2015 15:00:00:000;0,31
16.9.2015 16:00:00:000;0,29
16.9.2015 17:00:00:000;0,3
16.9.2015 18:00:00:000;0,2
16.9.2015 19:00:00:000;0,19
16.9.2015 20:00:00:000;0,11
16.9.2015 21:00:00:000;0,05
16.9.2015 22:00:00:000;0,09
16.9.2015 23:00:00:000;0,01
