Maarintalo,;
Heating;
DateTime;kW
14.9.2015 02:00:00:000;41,94
14.9.2015 03:00:00:000;41,51
14.9.2015 04:00:00:000;39,43
14.9.2015 05:00:00:000;40,82
14.9.2015 06:00:00:000;46,82
14.9.2015 07:00:00:000;58,18
14.9.2015 08:00:00:000;63,63
14.9.2015 09:00:00:000;66,23
14.9.2015 10:00:00:000;69,04
14.9.2015 11:00:00:000;70,07
14.9.2015 12:00:00:000;72,99
14.9.2015 13:00:00:000;79,02
14.9.2015 14:00:00:000;76,88
14.9.2015 15:00:00:000;75,49
14.9.2015 16:00:00:000;74,33
14.9.2015 17:00:00:000;67,87
14.9.2015 18:00:00:000;58,58
14.9.2015 19:00:00:000;52,45
14.9.2015 20:00:00:000;48,35
14.9.2015 21:00:00:000;46,18
14.9.2015 22:00:00:000;47,63
14.9.2015 23:00:00:000;44,41
15.9.2015 00:00:00:000;42,15
15.9.2015 01:00:00:000;38,07
15.9.2015 02:00:00:000;40,42
15.9.2015 03:00:00:000;41,07
15.9.2015 04:00:00:000;39,66
15.9.2015 05:00:00:000;38,55
15.9.2015 06:00:00:000;41,55
15.9.2015 07:00:00:000;54,52
15.9.2015 08:00:00:000;64,9
15.9.2015 09:00:00:000;65,97
15.9.2015 10:00:00:000;69,32
15.9.2015 11:00:00:000;72,75
15.9.2015 12:00:00:000;75,72
15.9.2015 13:00:00:000;76,77
15.9.2015 14:00:00:000;76,91
15.9.2015 15:00:00:000;75
15.9.2015 16:00:00:000;74,5
15.9.2015 17:00:00:000;67,26
15.9.2015 18:00:00:000;54,25
15.9.2015 19:00:00:000;47,71
15.9.2015 20:00:00:000;47,72
15.9.2015 21:00:00:000;45,42
15.9.2015 22:00:00:000;47,47
15.9.2015 23:00:00:000;45,24
16.9.2015 00:00:00:000;42,86
16.9.2015 01:00:00:000;42,09
16.9.2015 02:00:00:000;41,48
16.9.2015 03:00:00:000;42,21
16.9.2015 04:00:00:000;41
16.9.2015 05:00:00:000;41,06
16.9.2015 06:00:00:000;42,28
16.9.2015 07:00:00:000;54,39
16.9.2015 08:00:00:000;62,53
16.9.2015 09:00:00:000;65,71
16.9.2015 10:00:00:000;68,87
16.9.2015 11:00:00:000;71,15
16.9.2015 12:00:00:000;72,25
16.9.2015 13:00:00:000;78,36
16.9.2015 14:00:00:000;75,72
16.9.2015 15:00:00:000;75,06
16.9.2015 16:00:00:000;73,11
16.9.2015 17:00:00:000;64,8
16.9.2015 18:00:00:000;52,83
16.9.2015 19:00:00:000;48,35
16.9.2015 20:00:00:000;49,23
16.9.2015 21:00:00:000;46,81
16.9.2015 22:00:00:000;48,05
16.9.2015 23:00:00:000;44,59
17.9.2015 00:00:00:000;42,43
17.9.2015 01:00:00:000;40,83
17.9.2015 02:00:00:000;41,84
17.9.2015 03:00:00:000;39,62
17.9.2015 04:00:00:000;40,82
17.9.2015 05:00:00:000;38,95
17.9.2015 06:00:00:000;42,16
17.9.2015 07:00:00:000;54,72
17.9.2015 08:00:00:000;61,84
17.9.2015 09:00:00:000;62,28
17.9.2015 10:00:00:000;69,6
17.9.2015 11:00:00:000;71,53
17.9.2015 12:00:00:000;74,39
17.9.2015 13:00:00:000;76,7
17.9.2015 14:00:00:000;75,68
17.9.2015 15:00:00:000;76,87
17.9.2015 16:00:00:000;74,16
17.9.2015 17:00:00:000;68,78
17.9.2015 18:00:00:000;54,68
17.9.2015 19:00:00:000;51,91
17.9.2015 20:00:00:000;52,34
17.9.2015 21:00:00:000;48,78
17.9.2015 22:00:00:000;50,32
17.9.2015 23:00:00:000;48,22
18.9.2015 00:00:00:000;45,86
18.9.2015 01:00:00:000;41,82
18.9.2015 02:00:00:000;41,03
18.9.2015 03:00:00:000;39,19
18.9.2015 04:00:00:000;40,32
18.9.2015 05:00:00:000;38,51
18.9.2015 06:00:00:000;42,18
18.9.2015 07:00:00:000;54,69
18.9.2015 08:00:00:000;63,27
18.9.2015 09:00:00:000;66,54
18.9.2015 10:00:00:000;70,51
18.9.2015 11:00:00:000;72,21
18.9.2015 12:00:00:000;71,21
18.9.2015 13:00:00:000;73,26
18.9.2015 14:00:00:000;74,14
18.9.2015 15:00:00:000;70,78
18.9.2015 16:00:00:000;63,06
18.9.2015 17:00:00:000;58,26
18.9.2015 18:00:00:000;50,2
18.9.2015 19:00:00:000;49,25
18.9.2015 20:00:00:000;47,16
18.9.2015 21:00:00:000;45,42
18.9.2015 22:00:00:000;47,99
18.9.2015 23:00:00:000;42,45
19.9.2015 00:00:00:000;42,27
19.9.2015 01:00:00:000;42,18
19.9.2015 02:00:00:000;39,87
19.9.2015 03:00:00:000;39,32
19.9.2015 04:00:00:000;38,79
19.9.2015 05:00:00:000;40,65
19.9.2015 06:00:00:000;37,3
19.9.2015 07:00:00:000;38,85
19.9.2015 08:00:00:000;38,59
19.9.2015 09:00:00:000;41,05
19.9.2015 10:00:00:000;41,35
19.9.2015 11:00:00:000;41,38
19.9.2015 12:00:00:000;45,9
19.9.2015 13:00:00:000;47,13
19.9.2015 14:00:00:000;46,72
19.9.2015 15:00:00:000;47,9
19.9.2015 16:00:00:000;45,45
19.9.2015 17:00:00:000;44,54
19.9.2015 18:00:00:000;44,24
19.9.2015 19:00:00:000;42,42
19.9.2015 20:00:00:000;45,34
19.9.2015 21:00:00:000;45,88
19.9.2015 22:00:00:000;46,77
19.9.2015 23:00:00:000;44,65
20.9.2015 00:00:00:000;41,13
20.9.2015 01:00:00:000;40,84
20.9.2015 02:00:00:000;41,95
20.9.2015 03:00:00:000;39,38
20.9.2015 04:00:00:000;40,22
20.9.2015 05:00:00:000;40,24
20.9.2015 06:00:00:000;40,91
20.9.2015 07:00:00:000;38,61
20.9.2015 08:00:00:000;38,13
20.9.2015 09:00:00:000;38,14
20.9.2015 10:00:00:000;40,39
20.9.2015 11:00:00:000;43,91
20.9.2015 12:00:00:000;45,76
20.9.2015 13:00:00:000;47,62
20.9.2015 14:00:00:000;47,61
